Resource ID,filepath,identifier,title,date,creator,contributor,publisher,rights.code,subject,spatial,temporal,description,type,language,bibliographicCitation
R001,P FW_OS_2_14,P FW PH1/OS/2/14,"Butter churn, Milk Marketing Board, Newbury, Berkshire. The Museum of English Rural Life, University of Reading.",1940~,Charles Topham,,,MERLCC,,,,,,,http://www.reading.ac.uk/adlib/Details/archive/110025847
R002,2009_9_img_001,Object number 2009/9,"Grow Your Own Food WW2 Propaganda Poster. This poster was designed in 1942 by Abram Games, in his capacity as Official War Office Poster Designer. The Museum of English Rural Life, University of Reading.",1942,"Games, Abram",,,MERLCC,,,,,,,http://www.reading.ac.uk/adlib/Details/collect/7314
R003,180422-beveridge-full,180422-beveridge-full,William Ian Beardmore Beveridge,,,,,PubDom,,,,,,,
R004,P FS PH1_K47571,P FS PH1/K47571,"Sheep flock returning to the hill, Capt. Bennett Evans' Farm, Plynlimon, Cardiganshire. (August 1952). The Museum of English Rural Life, University of Reading.",1952-08,,,,MERLCC,,,,,,,http://www.reading.ac.uk/adlib/merl_archives/110017843
R005,1943_UN_Conference_on_Food_and_Agriculture Photo credit©FAO,1943_UN_Conference_on_Food_and_Agriculture Photo credit©FAO,"Hot Springs, Virginia, USA, 1943. Photo credit: ©FAO",1943,,,,FAO,,,,,,,
R006,P_FW_PH2_H29_3,P FW PH2/H29/3,"Black and white photograph of picking up the last of the harvest. The Museum of English Rural Life, University of Reading.",1945,"Guy, Eric",,,MERLCC,,,,,,,http://www.reading.ac.uk/adlib/Details/archive/110010172
R007,Cornell University State Vet College 1913,Cornell University State Vet College 1913,"Cornell University, New York State Veterinary College.",1913,"Moore, Veranus A.",,,CeComms,,,,,,,
R008,P FS PH1_K38494,P FS PH1/K38494,"Artificial Insemination Centre, collecting semen in artificial vagina, Lyndhurst, Hampshire. August 1949. The Museum of English Rural Life, University of Reading.",1949-08,,,,MERLCC,,,,,,,http://www.reading.ac.uk/adlib/merl_archives/110021283
R009,P FS PH1_K58783,P FS PH1/K58783,"Radnor ewes and lambs on reclaimed hill at 1 000 ft at Gwarllorn(?), Llanfihangel, Nant Bran. The Museum of English Rural Life, University of Reading.",,,,,MERLCC,,,,,,,http://www.reading.ac.uk/adlib/merl_archives/110018748
R010,P FS PH1_K33252,P FS PH1/K33252,"National Farmers Union members in an orchard at East Malling Research Station. The Museum of English Rural Life, University of Reading.",,,,,MERLCC,,,,,,,http://www.reading.ac.uk/adlib/merl_archives/110016620
R011,P_2FW_PH2_1179_3,P 2FW PH2/1179/3,"Black and white photograph of a sheep's foot being treated for foot rot. 20 May 1971 [published 30 Aug 1985  p. 70]. The Museum of English Rural Life, University of Reading.",20/5/1971,"Huggett, Keith",,,MERLCC,,,,,,,
