The next event ID to use is : ,,,,,F,088,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,All entries need a short headline,"Descriptions need to be accessible to a general audience, spell out acronyms and be 70 words or less",,,,Image Information,,,,,,Oral History Excerpts Data,,,,,Additional Information,Linked Events Information,
Who,Event ID,Formula,Formula,Formula,Year,Headline,Description,Word Count,Category,Tier,Resource ID,Image REF,Picture Caption,Photographer,Photo Credit,Catalogue URL/URL,Speaker,Place,Era,Text (can be as long as you want),Rights,"Reference/Docs and Related Resources ""For more information see""",Other Events that it links too,Linked Events Events ID
KS,F001,FALSE,Formula,001,1933,Millk Marketing Board established,"The Milk Marketing Board (MMB) was a producer-led organisation established in 1933-34 via the Agriculture Marketing Act (1933). It brought stability and financial security to dairy farmers by negotiating contracts with milk purchasers on behalf of all 140,000 milk producers. At a time of deep agricultural depression, when most farming produce faced fierce competition from imports, it contributed to a significant growth in UK dairy farming.  ",66,Production Practices,2,R001,P FW PH1/OS/2/14,"Butter churn, Milk Marketing Board, Newbury, Berkshire",Charles Topham,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110025847,,,,,,"Anderson, P.D., ‘The English Milk Marketing Board—Its origins and functions: Part I’, Agricultural Administration 5:1 (1978): 59-71. https://doi.org/10.1016/0309-586X(78)90018-3; McQUEEN, D. (1998), The Milk Marketing Boards in Scotland and their legacy. International Journal of Dairy Technology, 51: 113-119. doi:10.1111/j.1471-0307.1998.tb02514.x; https://api.parliament.uk/historic-hansard/acts/agricultural-marketing-act-1933",,
AW,F002,FALSE,001,002,1939,Outbreak of WWII,"During WWII, the previously depressed farming industry became central to the health, strength and fighting capacity of the nation. Farmers were offered generous fixed prices and guaranteed markets in return for improving and adapting their practices. Dairying was prioritised due to the nutritional benefits of milk consumption. Other livestock sectors shrank, as grassland was ploughed up to produce cereals that were diverted for human rather than animal consumption.",68,Policy Events,2,R002,Object number 2009/9,"Grow Your Own Food WW2 Propaganda Poster. This poster was designed in 1942 by Abram Games, in his capacity as Official War Office Poster Designer.",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/collect/7314,,,,,,,,
NG,F003,FALSE,002,003,1941,Discovery of the bacterial cause of Footrot in sheep,The bacteria responsible for footrot in sheep (Dichelobacter nodosus) was discovered by Australian researcher W.I.B. Beveridge. His discovery that the bacteria did not survive for long outside of the sheep's foot raised the possibility of eradicating it by treating affecting sheep and resting their pastures. The prevalence and productivity losses caused by footrot in Australia meant that farmers were very enthusiastic at this prospect.  ,64,Animal Health and Veterinary Medicine,1,R003,N/A,William Ian Beardmore Beveridge,,Public Domain,https://cosmosmagazine.com/biology/this-week-in-science-history-the-man-who-found-the-cause-of-the-great-influenza-epidemic-is-born,,,,,,,1955 Footrot Eradication trials and propaganda campaign; 1997 First outbreak of C.O.D.D. in UK; 2003 Routine foot trimming shown to increase prevalence of footrot,F028; F070; F076
AW,F004,FALSE,003,004,1941-1942,Hill sheep farming comes under government review,"The government established Committees of Inquiry upon Hill Sheep Farming in Scotland (1941) and England and Wales (1942), with a view to increasing the industry's economic viability. Enquiries focussed on sheep health, management, grazing and marketing. They resulted in the 1946 Hill Farming Act, which increased farming subsidies and made grants available for improvements.",54,Policy Events,3,R004,P FS PH1/K47571,"Sheep flock returning to the hill, Capt. Bennett Evans' Farm, Plynlimon, Cardiganshire. (August 1952)",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110017843,Farmer,Scottish Borders,pre-1939,"My father drove sheep from Gatehousecote and Ruletown Head into Hawick to the station and to the auction mart. There still are what are known as drove roads; they are places where you have the right of passage if you’re driving stock. Nobody uses them now, but drove roads are still there. He’d set off in the morning – he’d probably need a couple of collie dogs – and just walk quietly behind them.",Rights: Newcastle University,"John Martin, The Development of Modern Agriculture: Modern farming since 1931 (Palgrave Macmillan, 1999).  ",1946 Hill Farming Act,F009
AW,F005,FALSE,004,005,1943,Hot Springs' conference on food and agriculture heralds formation of the FAO,"The wartime disruption of agricultural production led US President, Franklin D. Roosevelt, to call a meeting of nations at Hot Springs, Virginia. The conference adopted recommendations on improving production practices and nutrition, and created an Interim Commission which in 1945 became the Food and Agriculture Organization of the United Nations (FAO). ",51,Policy Events,3,R005,N/A,"Hot Springs, Virginia, USA, 1943 - The United Nations Conference on Food and Agriculture was held from 18 May to 3 June in Hot Springs, Virgina (USA), with the participation of 44 governments. Convened by US President Roosevelt, the Conference decided on the establishment of a permanent organization in the field of food and agriculture, and set up an Interim Commission on Food and Agriculture, chaired by Lester Pearson, then Canadian Ambassador to the United States, which prepared the Consitution of FAO and proposed the merging of the International Institute of Agriculture (IIA) with FAO. The signing of the Constitution took place at the opening of the first FAO Conference in Quebec on 16 October 1945. Photo credit: ©FAO",,Photo credit: ©FAO,N/A,,,,,,"Food and Agriculture Organization. Agriculture Division. Meeting of International Organizations for the Common Planning of Activities in the Field of Agriculture in Europe; 'Report of the Meeting of International Organizations for the Common Planning of Activities in the Field of Agriculture in Europe.' (Rome: Agriculture Division, FAO, 1955); http://www.fao.org/about/en/ ",1945 formation FAO,F006
KS,F006,FALSE,005,006,1945,Formation of the FAO,"Following the 1943 Hot Springs conference, the UN Food and Agriculture Organization (FAO) came into being. It found that world-wide agricultural production was around 5% lower than it had been before the Second World War, but the world population was 10% higher. This meant that there was a global food shortage of 15%. Consequently, expanding food output became an international priority.",61,Production Practices,3,R006,P FW PH2/H29/3,Black and white photograph of picking up the last of the harvest,Eric Guy,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110010172,,,,,,,1943 Hot Springs,F005
AW,F007,FALSE,006,007,1946,First reported outbreak of BVD,"In 1946, vets at the New York State Veterinary College were called to six outbreaks of a mysterious cattle disease. The most common symptom was diarrhoea. Poisonous feed was initially blamed. However, lab analysis showed a severe deficiency in white blood cells. This was a known characteristic of virus infection. Consequently, the condition was labelled Bovine Virus Diarrhoea. The same year, outbreaks in other parts of the USA were reported. ",70,Animal Health and Veterinary Medicine,1,R007,N/A,"Cornell University, New York State Veterinary College, 1913.","Moore, Veranus A.",eCommons: Cornell's Digital Repository,https://ecommons.cornell.edu/handle/1813/47977,,,,,,"Olafson, P., A. D. MacCALLUM, and F. H. Fox, ‘An Apparently New Transmissible Disease of Cattle’, Cornell Veterinarian, 1 (1946), 205–13.", 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F012; F030; F035; F036; F041; F043; F050; F054; F058; F063; F069
KS,F008,FALSE,007,008,1946,Artificial Insemination Act,"In an effort to improve the quantity and quality of milk through selective breeding, the Artificial Insemination Act made AI breeding facilities available to all farms in England and Wales. Using AI, one carefully-selected (licensed) bull could sire 20,000 calves annually, compared to 50 calves naturally. The first Milk Marketing Board (MMB) AI centre was established in Beccles, Suffolk. By 1949 the MMB operation employed 800 technicians. The Centres rented or bought the bulls, and often kept up to thirty bulls of different breeds per Centre. Prospective bulls were inspected by farmer panels and a MMB vet, and could cost up to £5,000. By 1982, the MMB, four private studs, and two Ministry of Agriculture Centres were managing 1,750,000 Artificial Inseminations annually.",122,Production Practices,3,R008,P FS PH1/K38494,"Artificial Insemination Centre, collecting semen in artificial vagina, Lyndhurst, Hampshire. August 1949",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110021283,,,,,,"Sarah Wilmot, ‘From ‘public service’ to artificial insemination: animal breeding science and reproductive research in early twentieth-century Britain,’ Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences 38:2 (2007): 411-441. https://www.sciencedirect.com/science/article/pii/S1369848607000179",,
JB,F009,FALSE,008,009,1946,Hill Farming Act,"Introduced by the post-war Labour Government, the Hill Farming Act was the first peacetime policy to address upland area farming. It sought to encourage the expansion of hill farming by increasing production subsidies and providing grants for improvements. However, support was provided only for those living in mountain areas, not all of the uplands.",54,Policy Events,2,R009,P FS PH1/K58783,"Radnor ewes and lambs on reclaimed hill at 1 000 ft at Gwarllorn(?), Llanfihangel, Nant Bran",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110018748,,,,,,,1941- 42 committees of inquiry; 1951 Livestock rearing act,F004; F020
